"LASTNAME","COMPANY","STATUS","ISCONVERTED","ERROR"
"Burke","Cannon-Lowery","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Kelly Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Beard","Wood, Herrera and Reyes","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Rosario","Johns, Kirk and White","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Thompson","Roberts, Pearson and Bullock","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Zimmerman","Williams-Summers","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Fitzpatrick","Jones-Huerta","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Reed","Bell Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Franklin","Graham PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Perez","Gardner-Williams","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Collins","Thomas-Mcmahon","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Booth","Mercado PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Huang","Hernandez, Stone and Bruce","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Moody","Ramirez, Gregory and Ferrell","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Dickerson","Mills-Allen","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Holder","Chang, Johnson and Gonzalez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Long","Malone-Richardson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Wilson","Johnson Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Jones","Wells and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Petty","Estrada and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Pennington","Barnes Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bartlett","Warren-Vargas","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Thompson","Huber LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Stevens","Santiago, Harris and Davis","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Barnes","Lawrence Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Curry","Durham LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Franco","Thomas, Baird and Smith","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Fletcher","Williams-Burnett","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Stone","Roman and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Green","Nelson-Richard","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bell","Flores Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Jones-Gilbert","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Castillo","Armstrong Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Fuentes","Allen, Romero and James","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Reed","Morgan-Mcconnell","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Walsh","Warner LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Carroll","Foster, Moss and White","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Morris","Lambert Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Mcdonald","Allison-Walker","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Krause","Combs-Rogers","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Wood","Houston, Price and Miles","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Richmond","Zavala PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Guerrero","Henry, Hernandez and Jennings","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Chavez","Johnston-Hendrix","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Ramsey","Carroll Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Frazier","Richard-Becker","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Jones","Farmer Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Ferrell","Benson and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Wright Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Thompson","Dalton-Greene","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Jones","Green, Duarte and Sims","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Wise","Franklin, Jones and King","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Watts","Patterson PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Herring","Jefferson Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Green","Ward, Figueroa and Adams","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Little","Barry Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Ortiz","Ross-Church","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Cruz","Mason, Carter and Porter","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Ruiz","Ross-Park","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Turner","Lane Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Ford","Gonzalez Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Mclaughlin","Miller, Hall and Davis","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Monroe","Allen LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Watson","Dickson Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Jackson","Roberson PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Stout","Cannon PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Baker","Holmes-Yates","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Collins","Campbell-White","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Davenport Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Huynh","Woodard-Day","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Mclaughlin","Russell-Gill","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Cardenas","James-Phillips","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lewis","Osborne-Baird","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Davis","Thomas PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Johnson","Stanley Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hill","Hall, Warren and Brown","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bates","Alvarado PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Peterson","Davis-Garcia","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hernandez","Norman Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bailey","Chan and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Davis","Thomas, Ray and Avila","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Floyd","Vazquez and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Davis","Miller-Davis","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lewis","Davidson-Velasquez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hanson","Mann, Stevens and Tapia","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Peterson","Bates PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Mcconnell","Mckee-Kemp","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Waller","Edwards Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Sosa","Johnston PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Berg","Kirk PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bowman","Espinoza, Holmes and Krueger","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Colon","Rodriguez-Orozco","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Benton","Hunter Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Williams, Hendrix and Thompson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Price","Ortiz Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Chandler","Scott Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Sawyer","Rivera PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Reed","Foley Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Crosby","Mitchell Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Chavez","Rice, Gaines and Huang","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Golden","Jones-Richard","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Pace","Prince-Rosario","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Singleton","Smith LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Thomas","Cowan-Abbott","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lopez","Reese Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Cummings","Jones, Mayer and Peck","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Perez","Duncan, Bishop and Wong","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Miles","Armstrong, Nelson and Anderson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lopez","Gordon, Green and Castro","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Carter","Taylor, Anderson and Gutierrez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Barrett","George, Jones and Williams","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Cole","Meadows, Johnson and Thompson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hernandez","Huang-Anderson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Orr","Mcintyre-Nelson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Taylor","Sanders, Bolton and Pineda","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Alvarez","Lucas-Crawford","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Thomas","Keller PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hill","Martin and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Glover","Allen PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Thornton","Santiago Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hicks","Fisher, Nguyen and Li","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Potts","Tucker, Smith and Hill","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Compton","Walters, Colon and Richards","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Mcbride","Young PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"West","Duran, Griffith and Middleton","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bush","Jackson, Torres and Hammond","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hurley","Patrick PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Miller","Lee PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bates","Paul-Ramirez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Wilson","Collins, Long and Hall","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"White","Montes Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Castillo","Campbell Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Frye","King, Weiss and Petersen","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Duncan","Baker-Floyd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Moore","Patterson-Bell","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Floyd","Obrien-Murray","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Simpson","Black, Hess and Green","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Perry","Cole and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Ramos","Harper-Shepherd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Richardson","Bailey, Solomon and Peterson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Barajas","Berg, Smith and Rogers","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Calderon","Maxwell, Evans and Moses","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Garrett","Mathews, Dunn and Smith","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Walker","Bates-Hobbs","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Austin","Dunlap-Gallegos","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Rogers","Barker-Gardner","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Pierce","Ayala-Rice","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Brooks","Rosales-Neal","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Carlson","Mathis-Figueroa","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Day","Brooks Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Brown","Costa Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Odom","Brown-Mccann","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Church-Castillo","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Johnson","Kelly-Robinson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lawson","Diaz, Henson and Scott","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Quinn","Thornton, Gallagher and Walker","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Small","Thomas Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bennett","Livingston-Williamson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Washington","Grant-Gonzalez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Gilbert","Baker Ltd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Schwartz","Thomas-Robinson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Ball-Terry","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Dunn","Ramirez-Johnson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Savage","Miller, Shea and Thompson","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Elliott","Ruiz, Butler and Turner","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Gray","Allen-Webb","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Anderson","Hood, Cortez and House","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Gordon","Cook LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Jones","Anderson, Robinson and Jones","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Joseph","Wilson Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Gillespie","Johnson-Ayala","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Cook","Le-Gonzalez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hammond","Underwood-Schwartz","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Rodriguez","Johnson, Bowman and James","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Smith","Lopez and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Reynolds","Tran-Martin","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Schneider","Jenkins Group","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lewis","Torres, Miller and Singleton","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Miller","Owens Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Diaz","Frazier Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bell","Johnson-Lopez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Craig","Love-Harmon","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Cantu","Coleman-Thomas","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Bishop","Evans and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Barnett","Weaver-Jones","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Duncan","King-Bowman","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Harvey","Stark PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hunter","Campbell PLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Mercado","Lindsey, Rivera and Casey","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Trevino","Smith-Blair","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hobbs","Rodriguez-Moore","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Garcia","Carter-Arias","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Garcia","Wilson, Young and Ward","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Oliver","Huynh-Garcia","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Lewis","Kent-Bradley","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Farrell","Mooney and Sons","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Crawford","Coleman-Bridges","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Johnson","Reyes LLC","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Hughes","Barton, Watson and Miller","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Alvarado","Hill-Smith","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Reilly","Buchanan Inc","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Fisher","Pineda-Perez","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Larson","Wright-Davis","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
"Scott","Wilson, Medina and Floyd","","True","Converted Account empty for a Converted Lead.: Converted Account ID"
